item_id,company_name,item_name,protein_option,price,description,added_date,last_modified_date,discontinued_date
51,Chuys,Enchiladas,Chicka-Chicka Boom-Boom Enchiladas,$13.45,Roasted chicken and cheese with our fan favorite Boom-Boom (hot) Sauce...,2023-09-28,2023-09-28,none
52,Chuys,Enchiladas,Custom Enchiladas,,"Seasoned ground beef, roasted chicken or cheese with your choice of Si...",2023-09-28,2023-09-28,none
53,Chuys,Enchiladas,Deluxe Chicken Enchiladas,$12.29,Roasted chicken and cheese with Deluxe Tomatillo Sauce. Served with M...,2023-09-28,2023-09-28,none
54,Chuys,Enchiladas,Veggie Enchiladas,$11.23,"Corn tortillas with spinach, onions, zucchini, red bell peppers, serra...",2023-09-28,2023-09-28,none
55,Chuys,Enchiladas,Tex-Mex Enchiladas,$12.29,Straight to you from South Texas. Cheese enchiladas with our signatur...,2023-09-28,2023-09-28,none
Title,House Specialties,,
57,Chuys,House Specialties,Chicken Flautas,$11.44,"Corn tortillas filled with roasted chicken and cheese, rolled and frie...",2023-09-28,2023-09-28,none
58,Chuys,House Specialties,Chuychanga,$13.45,"A flour tortilla filled with roasted chicken, cheese, cilantro and gre...",2023-09-28,2023-09-28,none
59,Chuys,House Specialties,Steak Burrito,$13.66,"A flour tortilla stuffed with grilled steak and jack cheese, topped wi...",2023-09-28,2023-09-28,none
60,Chuys,House Specialties,Comida Deluxe,$14.19,"Cheese enchiladas with Tex-Mex Sauce, chicken flautas, a crispy taco, ...",2023-09-28,2023-09-28,none
61,Chuys,House Specialties,The Elvis Presley Memorial Combo,$14.19,"A seasoned ground beef enchilada with Tex-Mex Sauce, chicken enchilada...",2023-09-28,2023-09-28,none
62,Chuys,House Specialties,Taco & Enchilada Combo,$11.23,"Seasoned ground sirloin crispy taco, cheese Tex-Mex enchilada. Served ...",2023-09-28,2023-09-28,none
Title,Dessert,,
64,Chuys,Dessert,Tres Leches,$8.36,"A generous slice of our signature cake made with three milks, served w...",2023-09-28,2023-09-28,none
65,Chuys,Dessert,Chuy Chuy Churro Bites,$6.99,"Cinnamon sugar churro bites, served with caramel dipping sauce.",2023-09-28,2023-09-28,none
Title,Kids,,
67,Chuys,Kids,Mini Burrito,$6.67,"Mini bean and cheese burrito, served with Ranchero Sauce and your choi...",2023-09-28,2023-09-28,none
68,Chuys,Kids,Cheese Quesadillas,$6.67,Two grilled tortillas with cheese. Served with your choice of side.,2023-09-28,2023-09-28,none
69,Chuys,Kids,Enchilada,$6.67,One cheese enchilada served with Ranchero sauce and your choice of sid...,2023-09-28,2023-09-28,none
70,Chuys,Kids,Cheeseburger,$6.67,Burger patty with cheese. Served with your choice of side.,2023-09-28,2023-09-28,none
71,Chuys,Kids,Chicken Tenders,$6.67,Chicken tenders served with your choice of side.,2023-09-28,2023-09-28,none
72,Chuys,Kids,Kid Tacos,$6.67,Two crispy tacos with beef and cheese. Served with your choice of side...,2023-09-28,2023-09-28,none
Title,Sides,,
74,Chuys,Sides,Salsa Fresca,,,2023-09-28,2023-09-28,none
75,Chuys,Sides,Creamy Jalapeno,,,2023-09-28,2023-09-28,none
76,Chuys,Sides,Chile Con Queso,,,2023-09-28,2023-09-28,none
77,Chuys,Sides,Boom Boom,,,2023-09-28,2023-09-28,none
78,Chuys,Sides,Mexican Rice,,,2023-09-28,2023-09-28,none
79,Chuys,Sides,Refried Beans,,,2023-09-28,2023-09-28,none
80,Chuys,Sides,Add a Scoop of Guac,$2.28,,2023-09-28,2023-09-28,none
81,Chuys,Sides,Add a Scoop of Sour Cream,$1.01,,2023-09-28,2023-09-28,none
82,Chuys,Sides,Add Avocado Slices,$2.28,,2023-09-28,2023-09-28,none
83,Chuys,Sides,À La Carte Taco,,,2023-09-28,2023-09-28,none
84,Chuys,Sides,À La Carte Enchilada,$5.04,,2023-09-28,2023-09-28,none
85,Chuys,Sides,Side of Pico de Gallo,$0.80,,2023-09-28,2023-09-28,none
86,Chuys,Sides,Side of Mixed Cheese,$1.22,,2023-09-28,2023-09-28,none
87,Chuys,Sides,1/2 Dozen Tortillas,$2.50,,2023-09-28,2023-09-28,none
88,Chuys,Sides,Dozen Tortillas,$5.00,,2023-09-28,2023-09-28,none
Title,Beverages,,
90,Chuys,Beverages,Iced Tea,$3.17,,2023-09-28,2023-09-28,none
91,Chuys,Beverages,Coca-Cola,$3.17,,2023-09-28,2023-09-28,none
92,Chuys,Beverages,Diet Coke,$3.17,,2023-09-28,2023-09-28,none
93,Chuys,Beverages,Sprite,$3.17,,2023-09-28,2023-09-28,none
94,Chuys,Beverages,Dr. Pepper,$3.17,,2023-09-28,2023-09-28,none
95,Chuys,Beverages,Lemonade,$3.17,,2023-09-28,2023-09-28,none
96,Chuys,Beverages,IBC Root Beer,$3.17,,2023-09-28,2023-09-28,none
97,Chuys,Beverages,Gallon Iced Tea,$7.42,,2023-09-28,2023-09-28,none
98,Chuys,Beverages,Gallon Lemonade,$7.42,,2023-09-28,2023-09-28,none
Title,Donate,,
100,Chuys,Donate,"Operation Blue Santa Donation (Austin, TX)",$1.00,Help Chuy's support Operation Blue Santa and their mission to provide ...,2023-09-28,2023-09-28,none
101,Chuys,Donate,"Operation Blue Santa Donation (Austin, TX)",$5.00,Help Chuy's support Operation Blue Santa and their mission to provide ...,2023-09-28,2023-09-28,none
102,Chuys,Donate,"Operation Blue Santa Donation (Austin, TX)",$10.00,Help Chuy's support Operation Blue Santa and their mission to provide ...,2023-09-28,2023-09-28,none
103,Chuys,Donate,St. Jude Donation,$1.00,Help support St. Jude Children's Research Hospital and their mission t...,2023-09-28,2023-09-28,none
104,Chuys,Donate,St. Jude Donation,$5.00,Help support St. Jude Children's Research Hospital and their mission t...,2023-09-28,2023-09-28,none
105,Chuys,Donate,St. Jude Donation,$10.00,Help support St. Jude Children's Research Hospital and their mission t...,2023-09-28,2023-09-28,none
